Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context
,,*,中文思辨與表達,GECE103J,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103J&Crsname=中文思辨與表達（一）,3,期,必,45,18,46,-1,賴佩暄,管CM 4078,,567,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
,,*,中文思辨與表達,GECE103K,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103K&Crsname=中文思辨與表達（一）,3,期,必,50,16,49,1,顧永光,管CM 1019,,567,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
異動,更換教室8/3,*,中文思辨與表達,GECE103L,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103L&Crsname=中文思辨與表達（一）,3,期,必,45,16,50,-5,黃郁晴,工EC 9032-2,,,,,234,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
異動,更換教室8/3,*,中文思辨與表達,GECE103M,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103M&Crsname=中文思辨與表達（一）,3,期,必,45,5,50,-5,黃郁晴,工EC 9032-2,,,,,567,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
,,,英文初級,GEEN004,0,,英文初級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN004&Crsname=英文初級,0,期,必,35,2,37,-2,陳瑞華,理SC 1003,,234,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
,,,英文初級,GEEN004A,0,,英文初級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN004A&Crsname=英文初級,0,期,必,35,1,34,1,陳瑞華,理SC 1003,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
,,,英文初級,GEEN004B,0,,英文初級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN004B&Crsname=英文初級,0,期,必,35,1,11,24,莊家雄,海ME 3004,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
異動,更換教室9/8,,英文中級,GEEN116,0,,英文中級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN116&Crsname=英文中級,3,期,必,35,7,38,-3,曾彩楣,工EC 3013,,234,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
異動,確認教師8/11,,英文中級,GEEN116A,0,,英文中級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN116A&Crsname=英文中級,3,期,必,35,1,36,-1,戴藤懋,工EC 3001,,234,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
異動,更換教室7/29,,英文中級,GEEN116B,0,,英文中級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN116B&Crsname=英文中級,3,期,必,35,13,39,-4,曾千紋,工EC 3001,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
,,,英文中級,GEEN116C,0,,英文中級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN116C&Crsname=英文中級,3,期,必,35,4,37,-2,曾彩楣,管CM 2025,,,,,234,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
,,,英文中級,GEEN116D,0,,英文中級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN116D&Crsname=英文中級,3,期,必,35,7,38,-3,溫惠珍,理SC 1003,,,,,234,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
,,,英文中級,GEEN116E,0,,英文中級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN116E&Crsname=英文中級,3,期,必,35,7,38,-3,溫惠珍,理SC 1003,,,,,567,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
,,,英文中高級,GEEN117,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN117&Crsname=英文中高級,3,期,必,35,0,35,0,莊家雄,海ME 3004,,234,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計※英語授課
,,,英文中高級,GEEN117A,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN117A&Crsname=英文中高級,3,期,必,35,0,34,1,陳美淑,管CM 2025,,234,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
